trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
143,False,"{'a': 0.02, 'e': 0.003343031472129082}",20,6,26.049000069594232,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.02, 'e': 0.003180949982247535}",25,14,21.08951817170736,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.02, 'e': 0.003026517296379566}",25,14,20.481196096297676,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.02, 'e': 0.002879384295748081}",25,11,22.83379784422813,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.02, 'e': 0.00273921712624597}",20,10,16.92982822342018,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.02, 'e': 0.0026056965692558536}",20,0,23.308183254324682,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.02, 'e': 0.002478517436185823}",25,12,23.30091412900904,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.02, 'e': 0.00235738798596011}",30,10,33.567802695034075,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.02, 'e': 0.0022420293647195514}",25,15,18.285063759137184,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.02, 'e': 0.0021321750670029232}",25,12,24.260705690166297,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.02, 'e': 0.002027570417696657}",20,0,26.43197341427784,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
154,False,"{'a': 0.02, 'e': 0.0019279720740570814}",25,11,25.519470494585512,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.02, 'e': 0.0018331475471260478}",20,6,24.240934913057814,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.02, 'e': 0.0017428747418776007}",20,5,22.570975017261496,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.02, 'e': 0.0016569415154501677}",25,19,11.989831105600548,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.02, 'e': 0.001575145252835537}",20,0,24.130145032768997,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.02, 'e': 0.0014972924594126259}",20,12,16.906509989358945,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.02, 'e': 0.0014231983697306806}",25,18,12.728980282040965,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.02, 'e': 0.0013526865719630733}",25,15,21.67076624244056,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.02, 'e': 0.0012855886474692183}",30,0,40.994986998768354,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
163,False,"{'a': 0.02, 'e': 0.0012217438249183274}",20,11,18.19772973746353,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.02, 'e': 0.0011609986484447104}",25,0,33.33660789569658,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
165,False,"{'a': 0.02, 'e': 0.001103206659320102}",30,16,23.484939460137326,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.02, 'e': 0.001048228090644036}",25,11,24.215690940730077,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.02, 'e': 0.0009959295745685722}",30,20,19.035517278306383,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,13,18.669500956872717,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
